Reference,"	Value","	Footprint"
U3,"	DS1337S_","	Library:DS1337S"
U4,"	ATMEGA328P-AU","	ATMEGA328P-AU (1):QFP80P900X900X120-32N"
"U1,U2","	24LC1025","	Package_SO:SOIC-8_5.3x5.3mm_P1.27mm"
BT1,Battery,"	Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical"
C1,0.1uF,"	Capacitor_SMD:C_0805_2012Metric"
C2,"	22pF","	Capacitor_SMD:C_0805_2012Metric"
C3,22pF,"	Capacitor_SMD:C_0805_2012Metric"
C4,"	0.1uF","	Capacitor_SMD:C_0805_2012Metric"
C5,"	100nF","	Capacitor_SMD:C_0805_2012Metric"
"D1,D2","	LED","	LED_SMD:LED_0805_2012Metric"
J1,Conn_01x04_Pin,"	Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical"
J2,Conn_01x09_Pin,"	Connector_PinSocket_2.54mm:PinSocket_1x09_P2.54mm_Vertical"
J3,Conn_01x04_Pin,"	Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical"
J4,Conn_02x03_Odd_Even,"	Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical"
"R1,R2,R6","	10K","	Resistor_SMD:R_0805_2012Metric"
"R3,R4","	4.7K","	Resistor_SMD:R_0805_2012Metric"
"R5,R7","	330","	Resistor_SMD:R_0805_2012Metric"
Y1,"	37.768KHz","	Crystal:Crystal_SMD_5032-2Pin_5.0x3.2mm_HandSoldering"
Y2,"	16MHz","	Crystal:Crystal_SMD_5032-2Pin_5.0x3.2mm_HandSoldering"
H1-H4,MountingHole,MountingHole:MountingHole_2.1mm
